Chamado,InicioData,InicioHora,NormalizacaoData,NormalizacaooHora,Interrupcao,Funcionalidade,Item de Configuracao,Causa da Falha,Area,Node
55517,23/9/2014, 17:29,23/9/2014, 19:00,1:30:02,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,4
55538,24/9/2014, 11:51,24/9/2014, 13:00,,Rede Externa,GERAL,IMPROCEDENTE,SLA,8
55544,24/9/2014, 14:02,24/9/2014, 17:00,2:57:44,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,SLA,9
55547,24/9/2014, 14:46,24/9/2014, 18:55,4:08:30,Rede Externa,SG4000,MÓDULO RF DESALINHADO CANAL RETORNO,SLA,4
55548,24/9/2014, 14:49,25/9/2014, 16:50,8:00:00,Rede Externa,MB,MÓDULO RF DESALINHADO CANAL DIRETO,SLA,1
55550,24/9/2014, 14:57,24/9/2014, 18:55,3:57:08,Rede Externa,GERAL,NORMALIZOU SEM INTERVENÇÃO,SLA,8
55553,24/9/2014, 15:45,25/9/2014, 19:00,,Rede Externa,GERAL,VERIFICAÇÃO DE REDE,SLA,13
55554,24/9/2014, 16:04,25/9/2014, 17:25,,Rede Externa,GERAL,IMPROCEDENTE,SLA,11
55572,25/9/2014, 09:19,25/9/2014, 11:35,2:15:41,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SLA,11
55610,26/9/2014, 12:19,26/9/2014, 13:30,,Rede Externa,GERAL,IMPROCEDENTE,SLA,4
55668,27/9/2014, 09:37,27/9/2014, 14:00,,Rede Externa,GERAL,IMPROCEDENTE,SLA,6
54770,3/9/2014 ,07:13,3/9/2014, 13:20,6:06:12,Node,GERAL,CABO ÓPTICO ROMPIDO,SVI,15
54981,9/9/2014 ,15:13,9/9/2014, 18:40,3:26:58,Rede Externa,PASSIVOS,CONEXÃO DANIFICADA,SVI,33-A
55016,10/9/2014, 13:52,10/9/2014, 22:30,8:37:12,Rede Externa,FONTE EQUISUL,MÓDULO INTERMEDIÁRIO (MI) QUEIMADO,SVI,20
55211,16/9/2014, 10:59,16/9/2014, 13:00,2:00:40,Rede Externa,SG2000,FUSIVEL QUEIMADO OU COM MAU CONTATO,SVI,22
55231,16/9/2014, 17:43,16/9/2014, 18:55,1:11:01,Node,GERAL,REDE INTERNA,SVI,7
55245,17/9/2014, 10:23,17/9/2014, 12:10,1:46:25,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,SVI,22
55302,18/9/2014, 11:09,18/9/2014, 13:30,2:20:23,Rede Externa,GERAL,NORMALIZOU SEM INTERVENÇÃO,SVI,17
55345,19/9/2014 ,09:51,19/9/2014, 10:50,0:58:06,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SVI,3
55350,19/9/2014 ,11:59,19/9/2014, 13:00,1:00:07,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SVI,3
55686,28/9/2014 ,09:23,28/9/2014, 13:25,4:01:45,Node,PASSIVOS,GERANDO RUÍDO,SVI,27
55707,29/9/2014, 10:11,29/9/2014, 13:15,3:03:06,Node,FONTE EQUISUL,DISJUNTOR DESARMADO,SVI,24
55733,29/9/2014 ,15:52,29/9/2014, 16:08,0:15:32,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,SVI,30
54889,5/9/2014, 13:32,5/9/2014, 13:47,0:14:36,Node,FONTE EQUISUL,FALTA DE ENERGIA ELÉTRICA,ULR,14
54899,5/9/2014, 17:29,5/9/2014, 18:20,0:50:24,Node,GERAL,RESET/AJUSTE RPR,ULR,14
54948,8/9/2014, 16:14,9/9/2014, 18:00,25:35:00,Node,CABO ÓPTICO,CABO ÓPTICO ROMPIDO,ULR,16
55007,10/9/2014, 11:02,10/9/2014, 14:15,3:12:16,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,ULR,2
55011,10/9/2014, 12:35,10/9/2014, 14:45,2:09:31,Rede Externa,CABO COAXIAL,CABO COAXIAL DANIFICADO/ROMPIDO,ULR,2
55340,19/9/2014, 08:32,19/9/2014, 09:20,0:47:22,Node,SG2000,MÓDULO RF DESALINHADO CANAL RETORNO,ULR,10
55344,19/9/2014, 09:25,19/9/2014, 10:25,0:59:43,Node,RPR,FALHA GERAL,ULR,14
55382,19/9/2014, 17:05,20/9/2014, 07:00,13:54:16,Node,GERAL,CABO ÓPTICO ROMPIDO,ULR,4
